Date,Close,Open,High,Low
2014-12-31,2058.9,2082.11,2085.58,2057.94
2015-01-02,2058.2,2058.9,2072.36,2046.04
2015-01-05,2020.58,2054.44,2054.44,2017.34
2015-01-06,2002.61,2022.15,2030.25,1992.44
2015-01-07,2025.9,2005.55,2029.61,2005.55
2015-01-08,2062.14,2030.61,2064.08,2030.61
2015-01-09,2044.81,2063.45,2064.43,2038.33
2015-01-12,2028.26,2046.13,2049.3,2022.58
2015-01-13,2023.03,2031.58,2056.93,2008.25
2015-01-14,2011.27,2018.4,2018.4,1988.44
2015-01-15,1992.67,2013.75,2021.35,1991.47
2015-01-16,2019.42,1992.25,2020.46,1988.12
2015-01-20,2022.55,2020.76,2028.94,2004.49
2015-01-21,2032.12,2020.19,2038.29,2012.04
2015-01-22,2063.15,2034.3,2064.62,2026.38
2015-01-23,2051.82,2062.98,2062.98,2050.54
2015-01-26,2057.09,2050.42,2057.62,2040.97
